,Hour,Day,Month,Year,Mean,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,82.0,109.0,147.0,82.0,1.6,92.0,2.0,15.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
1,1,1,1,2018,78.5,100.0,139.0,75.0,1.8,93.0,2.0,14.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
2,2,1,1,2018,70.33333333333333,79.0,107.0,54.0,1.5,77.0,2.0,9.0,50.0,734.25,0.025000001009000468,267964.0,275.82070007324216,60.00339599609375,694.9375
3,3,1,1,2018,61.5,60.0,69.0,35.0,1.1,68.0,2.0,7.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
4,4,1,1,2018,55.4,51.0,51.0,31.0,0.9,64.0,2.0,6.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
5,5,1,1,2018,50.0,52.0,53.0,23.0,0.9,62.0,2.0,5.0,50.0,736.6875,0.025000000778000804,268200.0,275.8867999267578,60.0054279937744,779.75
6,6,1,1,2018,45.57142857142857,39.0,39.0,19.0,0.7,53.0,3.0,4.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
7,7,1,1,2018,41.625,31.0,31.0,14.0,0.6,45.0,8.0,3.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
8,8,1,1,2018,38.44444444444444,28.0,28.0,13.0,0.6,45.0,9.0,3.0,50.0,738.5,0.025000000792000446,267780.0,275.9094998168945,60.0035239944458,771.5
9,9,1,1,2018,35.7,29.0,29.0,11.0,0.5,33.0,21.0,5.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
10,10,1,1,2018,33.0,17.0,17.0,6.0,0.5,27.0,30.0,6.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
11,11,1,1,2018,31.416666666666668,20.0,16.0,14.0,0.5,26.0,33.0,6.0,50.0,739.9375,0.025000001020001248,268000.0,275.89369995117187,60.0035239944458,685.5
12,12,1,1,2018,29.923076923076923,17.0,23.0,12.0,0.4,23.0,41.0,5.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
13,13,1,1,2018,28.928571428571427,23.0,30.0,16.0,0.5,25.0,45.0,8.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
14,14,1,1,2018,28.533333333333335,37.0,37.0,23.0,0.6,31.0,40.0,11.0,50.0,737.625,0.025000001294000075,268252.0,275.85690002441396,60.00143999481201,685.0
15,15,1,1,2018,28.4375,52.0,54.0,27.0,0.7,33.0,38.0,11.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
16,16,1,1,2018,28.941176470588236,59.0,68.0,37.0,0.9,44.0,31.0,11.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
17,17,1,1,2018,30.11111111111111,69.0,84.0,50.0,1.6,61.0,14.0,17.0,50.0,738.0625,0.025000001652000472,268468.0,275.8529998779297,60.00158399200439,685.0
18,18,1,1,2018,31.894736842105264,86.0,112.0,64.0,2.5,82.0,2.0,26.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
19,19,1,1,2018,33.85,95.0,137.0,71.0,2.9,83.0,2.0,33.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
20,20,1,1,2018,35.333333333333336,95.0,140.0,65.0,2.8,78.0,2.0,44.0,50.0,735.75,0.025000001602999863,268604.0,275.82389984130856,60.001659996032714,685.0
