,Hour,Day,Month,Year,Mean,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,72.0,96.0,133.0,72.0,2.6,59.0,2.0,21.0,50.0,730.4375,0.02500000074299984,256508.0,275.7758999633789,60.00135999298096,693.4375
1,1,1,1,2018,68.0,86.0,90.0,64.0,2.4,54.0,2.0,18.0,50.0,730.4375,0.02500000074299984,256508.0,275.7758999633789,60.00135999298096,693.4375
2,2,1,1,2018,67.33333333333333,89.0,98.0,66.0,2.8,54.0,2.0,18.0,50.0,730.4375,0.02500000074299984,256508.0,275.7758999633789,60.00135999298096,693.4375
3,3,1,1,2018,65.5,81.0,86.0,60.0,2.8,60.0,2.0,22.0,50.0,732.9375,0.025000000644000247,257312.0,275.84259979248037,60.003635993957516,777.9375
4,4,1,1,2018,61.2,62.0,74.0,44.0,2.7,61.0,2.0,26.0,50.0,732.9375,0.025000000644000247,257312.0,275.84259979248037,60.003635993957516,777.9375
5,5,1,1,2018,55.333333333333336,53.0,55.0,26.0,2.0,61.0,2.0,23.0,50.0,732.9375,0.025000000644000247,257312.0,275.84259979248037,60.003635993957516,777.9375
6,6,1,1,2018,51.0,56.0,61.0,25.0,2.1,60.0,2.0,19.0,50.0,735.5,0.025000000592000783,256788.0,275.880599975586,60.002091995239255,771.625
7,7,1,1,2018,48.25,54.0,57.0,29.0,2.2,65.0,2.0,25.0,50.0,735.5,0.025000000592000783,256788.0,275.880599975586,60.002091995239255,771.625
8,8,1,1,2018,46.55555555555556,55.0,59.0,33.0,2.2,49.0,2.0,20.0,50.0,735.5,0.025000000592000783,256788.0,275.880599975586,60.002091995239255,771.625
9,9,1,1,2018,45.6,57.0,64.0,37.0,2.3,43.0,3.0,20.0,50.0,737.0,0.02500000070200116,257128.0,275.86779998779286,60.002799995422365,685.5
10,10,1,1,2018,47.0,83.0,96.0,61.0,2.6,54.0,5.0,29.0,50.0,737.0,0.02500000070200116,257128.0,275.86779998779286,60.002799995422365,685.5
11,11,1,1,2018,47.666666666666664,81.0,112.0,55.0,1.7,52.0,11.0,22.0,50.0,737.0,0.02500000070200116,257128.0,275.86779998779286,60.002799995422365,685.5
12,12,1,1,2018,47.84615384615385,70.0,90.0,50.0,1.6,41.0,21.0,28.0,50.0,733.75,0.025000000783000145,257108.0,275.8213000488281,60.000635993957516,685.0
13,13,1,1,2018,47.42857142857143,59.0,62.0,42.0,1.3,34.0,29.0,25.0,50.0,733.75,0.025000000783000145,257108.0,275.8213000488281,60.000635993957516,685.0
14,14,1,1,2018,46.8,54.0,54.0,38.0,1.0,29.0,37.0,18.0,50.0,733.75,0.025000000783000145,257108.0,275.8213000488281,60.000635993957516,685.0
15,15,1,1,2018,45.8125,46.0,46.0,31.0,0.8,27.0,39.0,14.0,50.0,732.25,0.025000000787001105,257432.0,275.79999999999995,60.001963996887206,685.0
16,16,1,1,2018,44.88235294117647,49.0,49.0,30.0,0.8,29.0,39.0,17.0,50.0,732.25,0.025000000787001105,257432.0,275.79999999999995,60.001963996887206,685.0
17,17,1,1,2018,44.05555555555556,44.0,44.0,30.0,0.8,40.0,26.0,17.0,50.0,732.25,0.025000000787001105,257432.0,275.79999999999995,60.001963996887206,685.0
18,18,1,1,2018,43.526315789473685,56.0,62.0,34.0,0.9,53.0,9.0,13.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
19,19,1,1,2018,43.0,58.0,65.0,33.0,0.8,54.0,5.0,11.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
20,20,1,1,2018,42.61904761904762,57.0,64.0,35.0,0.9,52.0,3.0,12.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
21,21,1,1,2018,42.27272727272727,54.0,58.0,35.0,1.0,48.0,6.0,13.0,50.0,731.0625,0.025000001003000885,257876.0,275.77690002441403,60.0007679977417,685.0
22,22,1,1,2018,42.43478260869565,64.0,68.0,46.0,1.6,43.0,10.0,22.0,50.0,731.0625,0.025000001003000885,257876.0,275.77690002441403,60.0007679977417,685.0
23,23,1,1,2018,42.75,69.0,71.0,50.0,1.6,42.0,6.0,19.0,50.0,731.0625,0.025000001003000885,257876.0,275.77690002441403,60.0007679977417,685.0
24,0,2,1,2018,43.0,68.0,63.0,49.0,1.8,36.0,8.0,17.0,50.0,735.125,0.025000000998999933,258540.0,275.8055999755859,60.00599599456787,693.75
25,1,2,1,2018,43.15384615384615,65.0,51.0,47.0,1.7,33.0,9.0,16.0,50.0,735.125,0.025000000998999933,258540.0,275.8055999755859,60.00599599456787,693.75
26,2,2,1,2018,43.629629629629626,76.0,68.0,56.0,1.9,33.0,6.0,13.0,50.0,735.125,0.025000000998999933,258540.0,275.8055999755859,60.00599599456787,693.75
27,3,2,1,2018,43.964285714285715,73.0,69.0,53.0,2.4,38.0,2.0,13.0,50.0,733.5625,0.025000000678000973,258816.0,275.8501998901367,60.01311599731445,777.875
28,4,2,1,2018,44.58620689655172,84.0,79.0,62.0,3.2,48.0,2.0,20.0,50.0,733.5625,0.025000000678000973,258816.0,275.8501998901367,60.01311599731445,777.875
29,5,2,1,2018,44.93333333333333,75.0,88.0,55.0,3.3,51.0,2.0,22.0,50.0,733.5625,0.025000000678000973,258816.0,275.8501998901367,60.01311599731445,777.875
30,6,2,1,2018,44.46666666666667,79.0,95.0,58.0,3.2,54.0,2.0,19.0,50.0,740.1875,0.02500000065500103,258412.0,275.86619995117184,60.0100719909668,754.25
31,7,2,1,2018,44.233333333333334,78.0,85.0,57.0,3.3,44.0,2.0,17.0,50.0,740.1875,0.02500000065500103,258412.0,275.86619995117184,60.0100719909668,754.25
32,8,2,1,2018,43.56666666666667,64.0,69.0,46.0,2.8,41.0,2.0,14.0,50.0,740.1875,0.02500000065500103,258412.0,275.86619995117184,60.0100719909668,754.25
33,9,2,1,2018,43.56666666666667,81.0,106.0,60.0,3.3,47.0,2.0,12.0,50.0,737.3125,0.02500000056900084,258708.0,275.8466998291016,60.00761599731445,685.5
34,10,2,1,2018,44.8,108.0,130.0,81.0,3.6,51.0,6.0,26.0,50.0,737.3125,0.02500000056900084,258708.0,275.8466998291016,60.00761599731445,685.5
35,11,2,1,2018,46.8,114.0,137.0,86.0,2.6,55.0,11.0,25.0,50.0,737.3125,0.02500000056900084,258708.0,275.8466998291016,60.00761599731445,685.5
36,12,2,1,2018,47.53333333333333,74.0,98.0,47.0,1.3,36.0,27.0,21.0,50.0,735.8125,0.025000000545000657,259100.0,275.82829986572256,60.0090599975586,685.0
37,13,2,1,2018,47.86666666666667,64.0,77.0,39.0,1.1,29.0,37.0,16.0,50.0,735.8125,0.025000000545000657,259100.0,275.82829986572256,60.0090599975586,685.0
38,14,2,1,2018,47.766666666666666,59.0,68.0,30.0,0.8,22.0,47.0,11.0,50.0,735.8125,0.025000000545000657,259100.0,275.82829986572256,60.0090599975586,685.0
39,15,2,1,2018,47.3,59.0,67.0,23.0,0.7,21.0,47.0,12.0,50.0,734.75,0.02500000055300072,259100.0,275.8138000488281,60.0085239944458,685.0
40,16,2,1,2018,46.06666666666667,56.0,61.0,24.0,0.6,19.0,49.0,9.0,50.0,734.75,0.02500000055300072,259100.0,275.8138000488281,60.0085239944458,685.0
41,17,2,1,2018,44.666666666666664,46.0,46.0,13.0,0.4,19.0,49.0,6.0,50.0,734.75,0.02500000055300072,259100.0,275.8138000488281,60.0085239944458,685.0
42,18,2,1,2018,43.3,27.0,27.0,9.0,0.4,26.0,46.0,4.0,50.0,733.875,0.025000000626999887,259100.0,275.799700012207,60.00940799713135,685.0
43,19,2,1,2018,42.13333333333333,20.0,17.0,7.0,0.3,12.0,63.0,2.0,50.0,733.875,0.025000000626999887,259100.0,275.799700012207,60.00940799713135,685.0
44,20,2,1,2018,41.06666666666667,26.0,26.0,6.0,0.3,9.0,66.0,2.0,50.0,733.875,0.025000000626999887,259100.0,275.799700012207,60.00940799713135,685.0
45,21,2,1,2018,40.2,20.0,17.0,5.0,0.3,8.0,65.0,2.0,50.0,733.3125,0.025000000678000973,259100.0,275.79,60.00939199829102,685.0
46,22,2,1,2018,39.53333333333333,19.0,18.0,10.0,0.4,9.0,61.0,4.0,50.0,733.3125,0.025000000678000973,259100.0,275.79,60.00939199829102,685.0
47,23,2,1,2018,38.96666666666667,25.0,25.0,13.0,0.6,13.0,53.0,7.0,50.0,733.3125,0.025000000678000973,259100.0,275.79,60.00939199829102,685.0
48,0,3,1,2018,38.46666666666667,43.0,43.0,19.0,0.9,36.0,20.0,8.0,50.0,732.625,0.025000001622000712,259100.0,275.7827999877929,60.00843999481202,693.0625
49,1,3,1,2018,38.06666666666667,40.0,40.0,21.0,0.8,35.0,18.0,8.0,50.0,732.625,0.025000001622000712,259100.0,275.7827999877929,60.00843999481202,693.0625
50,2,3,1,2018,37.86666666666667,44.0,44.0,29.0,1.2,47.0,4.0,9.0,50.0,732.625,0.025000001622000712,259100.0,275.7827999877929,60.00843999481202,693.0625
51,3,3,1,2018,37.3,33.0,33.0,18.0,0.8,37.0,14.0,8.0,50.0,733.375,0.02500000177299977,259100.0,275.81169982910154,60.01077599334717,769.6875
52,4,3,1,2018,36.4,27.0,27.0,19.0,0.9,40.0,10.0,8.0,50.0,733.375,0.02500000177299977,259100.0,275.81169982910154,60.01077599334717,769.6875
