,Hour,Day,Month,Year,Mean,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,77.0,103.0,122.0,77.0,1.7,83.0,5.0,15.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
1,1,1,1,2018,66.0,75.0,86.0,55.0,1.3,74.0,4.0,11.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
2,2,1,1,2018,60.0,66.0,72.0,48.0,1.3,72.0,4.0,11.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
3,3,1,1,2018,58.5,75.0,100.0,54.0,1.4,75.0,4.0,11.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
4,4,1,1,2018,57.4,73.0,79.0,53.0,1.4,72.0,4.0,13.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
5,5,1,1,2018,54.166666666666664,56.0,61.0,38.0,1.2,68.0,3.0,12.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
6,6,1,1,2018,50.57142857142857,44.0,44.0,29.0,1.0,64.0,3.0,9.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
7,7,1,1,2018,47.5,40.0,40.0,26.0,0.9,63.0,3.0,8.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
8,8,1,1,2018,45.22222222222222,44.0,44.0,27.0,0.9,59.0,4.0,9.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
9,9,1,1,2018,42.8,39.0,39.0,21.0,0.9,55.0,8.0,8.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
10,10,1,1,2018,40.72727272727273,30.0,30.0,20.0,0.7,42.0,22.0,6.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
11,11,1,1,2018,38.666666666666664,23.0,19.0,16.0,0.6,31.0,37.0,5.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
12,12,1,1,2018,36.92307692307692,23.0,16.5,16.0,0.5,23.0,45.0,4.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
13,13,1,1,2018,35.07142857142857,16.0,14.0,11.0,0.4,22.0,48.0,5.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
14,14,1,1,2018,33.666666666666664,22.0,22.0,14.0,0.6,28.0,42.0,6.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
15,15,1,1,2018,32.875,33.0,33.0,21.0,0.8,39.0,38.0,9.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
16,16,1,1,2018,32.11764705882353,44.0,44.0,20.0,0.8,46.0,30.0,11.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
17,17,1,1,2018,32.0,52.0,54.0,30.0,1.0,55.0,20.0,11.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
18,18,1,1,2018,32.94736842105263,71.0,92.0,50.0,1.9,76.0,6.0,16.0,50.0,735.6875,0.025000001567000524,268416.0,275.8241000366211,60.00173999786377,685.0
19,19,1,1,2018,35.15,103.0,130.0,77.0,2.8,84.0,4.0,26.0,50.0,735.6875,0.025000001567000524,268416.0,275.8241000366211,60.00173999786377,685.0
20,20,1,1,2018,36.904761904761905,97.0,143.0,72.0,2.8,83.0,4.0,30.0,50.0,735.6875,0.025000001567000524,268416.0,275.8241000366211,60.00173999786377,685.0
21,21,1,1,2018,38.45454545454545,100.0,150.0,71.0,2.3,76.0,3.0,19.0,50.0,734.625,0.025000001613000408,268764.0,275.80829986572263,60.001559997558594,685.0
22,22,1,1,2018,39.52173913043478,90.0,130.0,63.0,1.5,67.0,4.0,9.0,50.0,734.625,0.025000001613000408,268764.0,275.80829986572263,60.001559997558594,685.0
23,23,1,1,2018,40.0,70.0,83.0,51.0,1.0,60.0,6.0,6.0,50.0,734.625,0.025000001613000408,268764.0,275.80829986572263,60.001559997558594,685.0
24,0,2,1,2018,39.84,51.0,46.0,36.0,0.7,46.0,13.0,4.0,50.0,740.0625,0.02500000174099952,269292.0,275.83259979248044,60.00286799621582,695.375
25,1,2,1,2018,39.69230769230769,51.0,45.0,36.0,0.7,43.0,16.0,3.0,50.0,740.0625,0.02500000174099952,269292.0,275.83259979248044,60.00286799621582,695.375
26,2,2,1,2018,39.55555555555556,51.0,40.0,36.0,0.7,49.0,8.0,4.0,50.0,740.0625,0.02500000174099952,269292.0,275.83259979248044,60.00286799621582,695.375
27,3,2,1,2018,39.57142857142857,56.0,65.5,40.0,1.1,59.0,4.0,6.0,50.0,736.625,0.025000000842999668,269436.0,275.8829000854492,60.01001199340821,779.3125
28,4,2,1,2018,40.55172413793103,91.0,91.0,68.0,2.1,70.0,4.5,13.0,50.0,736.625,0.025000000842999668,269436.0,275.8829000854492,60.01001199340821,779.3125
29,5,2,1,2018,41.4,89.0,114.0,66.0,2.0,73.0,5.0,12.0,50.0,736.625,0.025000000842999668,269436.0,275.8829000854492,60.01001199340821,779.3125
30,6,2,1,2018,40.93333333333333,85.0,116.0,63.0,2.1,76.0,5.0,12.0,50.0,748.4375,0.02500000087499991,269108.0,275.904700012207,60.007031997680656,740.875
