,Hour,Day,Month,Year,Mean,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,32.0,51.0,52.0,32.0,0.8,39.0,27.0,5.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
1,1,1,1,2018,33.0,51.0,51.0,34.0,0.8,38.0,23.0,5.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
2,2,1,1,2018,31.0,46.0,46.0,27.0,0.8,47.0,12.0,5.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
3,3,1,1,2018,29.5,46.0,46.0,25.0,0.7,38.0,18.0,5.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
4,4,1,1,2018,28.4,45.0,45.0,24.0,0.7,42.0,11.0,5.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
5,5,1,1,2018,27.5,33.0,33.0,23.0,0.7,27.0,28.0,5.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
6,6,1,1,2018,26.857142857142858,36.0,36.0,23.0,0.7,29.0,25.0,5.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
7,7,1,1,2018,25.875,40.0,40.0,19.0,0.7,34.0,19.0,5.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
8,8,1,1,2018,24.88888888888889,42.0,42.0,17.0,0.8,32.0,19.0,5.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
9,9,1,1,2018,25.0,44.0,44.0,26.0,0.8,29.0,22.0,5.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
10,10,1,1,2018,24.636363636363637,46.0,46.0,21.0,0.8,24.0,30.0,6.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
11,11,1,1,2018,24.583333333333332,36.0,36.0,24.0,0.7,25.0,38.0,6.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
12,12,1,1,2018,25.076923076923077,50.0,50.0,31.0,0.8,33.0,39.0,9.0,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
13,13,1,1,2018,25.0,49.0,49.0,24.0,0.7,34.0,43.0,9.0,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
14,14,1,1,2018,24.4,23.0,22.0,16.0,0.5,24.0,57.0,4.0,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
15,15,1,1,2018,23.5625,20.0,20.0,11.0,0.4,24.0,61.0,3.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
16,16,1,1,2018,22.941176470588236,27.0,27.0,13.0,0.3,31.0,55.0,3.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
17,17,1,1,2018,22.333333333333332,29.0,29.0,12.0,0.4,48.0,36.0,3.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
18,18,1,1,2018,22.31578947368421,48.0,48.0,22.0,0.5,60.0,14.0,3.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
19,19,1,1,2018,22.25,55.0,59.0,21.0,0.8,66.0,2.0,5.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
20,20,1,1,2018,22.571428571428573,53.0,56.0,29.0,1.2,63.0,2.0,9.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
21,21,1,1,2018,23.272727272727273,54.0,56.0,38.0,1.7,59.0,2.0,15.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
22,22,1,1,2018,23.782608695652176,51.0,52.0,35.0,1.8,57.0,2.0,12.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
23,23,1,1,2018,24.166666666666668,57.0,63.0,33.0,1.5,55.0,2.0,9.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
24,0,2,1,2018,24.6,52.0,54.0,35.0,1.7,54.0,2.0,8.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
25,1,2,1,2018,24.96153846153846,51.0,51.0,34.0,1.8,52.0,2.0,7.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
26,2,2,1,2018,25.22222222222222,50.0,50.0,32.0,1.4,52.0,2.0,5.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
27,3,2,1,2018,25.464285714285715,51.0,51.0,32.0,1.3,50.0,3.0,5.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
28,4,2,1,2018,25.862068965517242,53.0,47.0,37.0,1.3,49.0,3.0,5.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
29,5,2,1,2018,25.9,46.0,46.0,27.0,1.3,46.0,5.0,5.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
30,6,2,1,2018,26.0,51.0,51.0,35.0,1.1,42.0,9.0,5.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
31,7,2,1,2018,25.966666666666665,50.0,50.0,33.0,1.2,43.0,7.0,5.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
32,8,2,1,2018,26.166666666666668,54.0,58.0,33.0,1.3,47.0,3.0,5.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
33,9,2,1,2018,26.533333333333335,55.0,60.0,36.0,1.4,42.0,8.0,7.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
34,10,2,1,2018,26.966666666666665,59.0,67.0,37.0,1.5,38.0,16.0,8.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
35,11,2,1,2018,27.8,66.0,76.0,48.0,1.5,39.0,24.0,12.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
36,12,2,1,2018,28.766666666666666,71.0,80.0,52.0,1.4,51.0,24.0,14.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
37,13,2,1,2018,29.466666666666665,60.0,69.0,40.0,1.1,46.0,33.0,12.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
38,14,2,1,2018,29.566666666666666,30.0,30.0,20.0,0.4,17.0,70.0,4.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
39,15,2,1,2018,29.133333333333333,23.0,21.0,13.0,0.3,17.0,72.0,3.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
40,16,2,1,2018,28.7,23.0,20.0,8.0,0.3,14.0,75.0,3.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
41,17,2,1,2018,28.2,22.0,18.0,9.0,0.3,17.0,70.0,3.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
42,18,2,1,2018,27.466666666666665,21.0,18.0,9.0,0.3,21.0,66.0,3.0,50.0,739.3125,0.02500000067900121,266564.0,275.8427999877929,60.00837599182129,685.0
