Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,52.0,52.0,74.0,97.0,1.4,82.0,2.0,6.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
1,1,1,2018,66.0,59.0,89.0,121.0,1.6,86.0,2.0,9.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
2,1,1,2018,37.0,51.66666666666666,64.0,77.0,1.0,67.0,2.0,4.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
3,1,1,2018,34.0,47.25,57.0,63.0,1.0,65.0,2.0,4.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
4,1,1,2018,36.0,45.0,59.0,67.0,1.0,66.0,2.0,5.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
5,1,1,2018,28.0,42.16666666666666,53.0,56.0,0.8,62.0,2.0,3.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
6,1,1,2018,13.0,38.0,39.0,39.0,0.6,47.0,8.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
7,1,1,2018,14.0,35.0,34.0,34.0,0.5,43.0,11.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
8,1,1,2018,14.0,32.666666666666664,33.0,33.0,0.5,43.0,12.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
9,1,1,2018,12.0,30.6,30.0,30.0,0.5,36.0,22.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
10,1,1,2018,10.0,28.727272727272727,31.0,31.0,0.5,30.0,30.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
11,1,1,2018,11.0,27.25,28.0,28.0,0.5,29.0,35.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
12,1,1,2018,12.0,26.07692307692308,22.0,22.0,0.4,26.0,41.0,2.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
13,1,1,2018,14.0,25.214285714285715,20.0,18.0,0.4,24.0,46.0,2.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
14,1,1,2018,18.0,24.73333333333333,32.0,32.0,0.5,30.0,42.0,4.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
15,1,1,2018,23.0,24.625,46.0,46.0,0.8,37.0,34.0,7.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
16,1,1,2018,30.0,24.94117647058824,60.0,69.0,1.2,47.0,24.0,9.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
17,1,1,2018,49.0,26.27777777777778,73.0,95.0,2.0,61.0,12.0,17.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
18,1,1,2018,63.0,28.210526315789476,88.0,126.0,2.0,76.0,2.0,18.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
19,1,1,2018,65.0,30.05,100.0,149.0,2.0,77.0,2.0,18.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
20,1,1,2018,64.0,31.666666666666668,96.0,142.0,2.0,75.0,2.0,18.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
21,1,1,2018,59.0,32.90909090909091,90.0,130.0,2.0,69.0,2.0,17.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
22,1,1,2018,53.0,33.78260869565217,83.0,115.0,1.1,61.0,2.0,6.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
23,1,1,2018,44.0,34.208333333333336,68.0,86.0,0.8,54.0,6.0,3.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
0,2,1,2018,30.0,34.04,53.0,56.0,0.6,42.0,16.0,2.0,50.0,740.625,0.0250000017710011,269508.0,275.83440002441404,60.00264399719238,695.6875
1,2,1,2018,30.0,33.88461538461539,47.0,47.0,0.6,47.0,7.0,2.0,50.0,740.625,0.0250000017710011,269508.0,275.83440002441404,60.00264399719238,695.6875
2,2,1,2018,30.0,33.74074074074074,46.0,46.0,0.6,40.0,14.0,3.0,50.0,740.625,0.0250000017710011,269508.0,275.83440002441404,60.00264399719238,695.6875
3,2,1,2018,33.0,33.714285714285715,52.0,53.0,0.9,45.0,9.0,3.0,50.0,736.625,0.02500000086,269576.0,275.8822998046875,60.00937599182129,779.6875
4,2,1,2018,31.0,33.62068965517241,44.0,44.0,0.9,43.0,9.0,3.0,50.0,736.625,0.02500000086,269576.0,275.8822998046875,60.00937599182129,779.6875
5,2,1,2018,28.0,33.43333333333333,40.0,38.0,1.1,54.0,4.0,3.0,50.0,736.625,0.02500000086,269576.0,275.8822998046875,60.00937599182129,779.6875
6,2,1,2018,45.0,33.2,66.0,81.0,1.7,66.0,2.0,7.0,50.0,749.625,0.025000000891,269356.0,275.90519989013666,60.006563995361326,737.5625
7,2,1,2018,57.0,32.9,92.0,133.0,2.0,67.0,2.0,9.0,50.0,749.625,0.025000000891,269356.0,275.90519989013666,60.006563995361326,737.5625
8,2,1,2018,45.0,33.166666666666664,68.0,85.0,1.6,60.0,2.0,10.0,50.0,749.625,0.025000000891,269356.0,275.90519989013666,60.006563995361326,737.5625
9,2,1,2018,43.0,33.46666666666667,67.0,83.0,1.7,60.0,3.0,12.0,50.0,744.375,0.0250000008010007,269492.0,275.89919982910146,60.0082559967041,685.5
