Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,81.0,81.0,126.0,201.0,1.8,87.0,2.0,22.0,50.0,734.25,0.0250000010090004,267964.0,275.82070007324216,60.00339599609375,694.9375
1,1,1,2018,79.0,80.0,128.0,205.0,2.0,89.0,2.0,21.0,50.0,734.25,0.0250000010090004,267964.0,275.82070007324216,60.00339599609375,694.9375
2,1,1,2018,47.0,69.0,97.0,144.0,1.5,72.0,2.0,11.0,50.0,734.25,0.0250000010090004,267964.0,275.82070007324216,60.00339599609375,694.9375
3,1,1,2018,27.0,58.5,67.0,84.0,0.9,64.0,2.0,7.0,50.0,736.6875,0.0250000007780008,268200.0,275.8867999267578,60.0054279937744,779.75
4,1,1,2018,27.0,52.2,60.0,69.0,0.7,59.0,2.0,3.0,50.0,736.6875,0.0250000007780008,268200.0,275.8867999267578,60.0054279937744,779.75
5,1,1,2018,23.0,47.333333333333336,55.0,59.0,0.7,55.0,2.0,4.0,50.0,736.6875,0.0250000007780008,268200.0,275.8867999267578,60.0054279937744,779.75
6,1,1,2018,17.0,43.0,38.0,38.0,0.5,48.0,2.0,2.0,50.0,738.5,0.0250000007920004,267780.0,275.9094998168945,60.0035239944458,771.5
7,1,1,2018,14.0,39.375,35.0,35.0,0.4,49.0,2.0,2.0,50.0,738.5,0.0250000007920004,267780.0,275.9094998168945,60.0035239944458,771.5
8,1,1,2018,12.0,36.333333333333336,32.0,32.0,0.4,49.0,3.0,3.0,50.0,738.5,0.0250000007920004,267780.0,275.9094998168945,60.0035239944458,771.5
9,1,1,2018,12.0,33.9,28.0,28.0,0.4,43.0,9.0,5.0,50.0,739.9375,0.0250000010200012,268000.0,275.89369995117187,60.0035239944458,685.5
10,1,1,2018,11.5,31.863636363636363,41.0,41.0,0.4,40.0,15.0,8.0,50.0,739.9375,0.0250000010200012,268000.0,275.89369995117187,60.0035239944458,685.5
11,1,1,2018,11.0,30.125,54.0,57.0,0.6,37.0,22.0,14.0,50.0,739.9375,0.0250000010200012,268000.0,275.89369995117187,60.0035239944458,685.5
12,1,1,2018,9.0,28.5,54.0,58.0,0.6,40.0,28.0,8.0,50.0,737.625,0.025000001294,268252.0,275.856900024414,60.00143999481201,685.0
13,1,1,2018,12.0,27.321428571428573,51.0,51.0,0.6,41.0,31.0,8.0,50.0,737.625,0.025000001294,268252.0,275.856900024414,60.00143999481201,685.0
14,1,1,2018,19.0,26.766666666666666,53.0,55.0,0.8,44.0,29.0,10.0,50.0,737.625,0.025000001294,268252.0,275.856900024414,60.00143999481201,685.0
15,1,1,2018,22.0,26.46875,53.0,56.0,0.9,46.0,28.0,10.0,50.0,738.0625,0.0250000016520004,268468.0,275.8529998779297,60.00158399200439,685.0
16,1,1,2018,40.0,27.264705882352946,63.0,75.0,1.2,65.0,16.0,12.0,50.0,738.0625,0.0250000016520004,268468.0,275.8529998779297,60.00158399200439,685.0
17,1,1,2018,58.0,28.97222222222222,79.0,96.0,2.2,74.0,5.0,17.0,50.0,738.0625,0.0250000016520004,268468.0,275.8529998779297,60.00158399200439,685.0
18,1,1,2018,78.0,31.55263157894737,104.0,114.0,2.3,81.0,2.0,21.0,50.0,735.75,0.0250000016029998,268604.0,275.82389984130856,60.00165999603272,685.0
19,1,1,2018,80.0,33.975,106.0,137.0,2.3,82.0,2.0,24.0,50.0,735.75,0.0250000016029998,268604.0,275.82389984130856,60.00165999603272,685.0
20,1,1,2018,80.0,36.16666666666666,106.0,147.0,2.3,80.0,2.0,24.0,50.0,735.75,0.0250000016029998,268604.0,275.82389984130856,60.00165999603272,685.0
21,1,1,2018,77.0,38.02272727272727,111.0,172.0,2.3,79.0,2.0,24.0,50.0,734.4375,0.0250000016130004,268980.0,275.8060998535156,60.00156799316406,685.0
22,1,1,2018,60.0,38.97826086956522,104.0,157.0,1.2,56.0,3.0,8.0,50.0,734.4375,0.0250000016130004,268980.0,275.8060998535156,60.00156799316406,685.0
23,1,1,2018,54.0,39.60416666666666,77.0,104.0,0.8,52.0,3.0,6.0,50.0,734.4375,0.0250000016130004,268980.0,275.8060998535156,60.00156799316406,685.0
0,2,1,2018,37.0,39.5,70.0,90.0,0.6,53.0,2.0,9.0,50.0,739.8125,0.0250000017610006,269504.0,275.8304998779296,60.00237999725342,695.5
1,2,1,2018,35.0,39.32692307692308,69.0,87.0,0.8,55.0,2.0,18.0,50.0,739.8125,0.0250000017610006,269504.0,275.8304998779296,60.00237999725342,695.5
2,2,1,2018,38.0,39.27777777777778,80.0,110.0,0.8,64.0,2.0,10.0,50.0,739.8125,0.0250000017610006,269504.0,275.8304998779296,60.00237999725342,695.5
3,2,1,2018,50.0,39.660714285714285,81.0,112.0,1.2,64.0,2.0,13.0,50.0,736.75,0.0250000008480008,269544.0,275.88399993896485,60.00975999450686,779.4375
4,2,1,2018,55.0,40.189655172413794,83.0,116.0,1.3,68.0,2.0,15.0,50.0,736.75,0.0250000008480008,269544.0,275.88399993896485,60.00975999450686,779.4375
5,2,1,2018,56.0,40.71666666666667,77.0,104.0,1.5,71.0,2.0,14.0,50.0,736.75,0.0250000008480008,269544.0,275.88399993896485,60.00975999450686,779.4375
6,2,1,2018,64.0,40.15,86.0,98.0,1.9,72.0,2.0,12.0,50.0,748.375,0.0250000008930005,269324.0,275.9063000488281,60.00677599334717,741.4375
7,2,1,2018,68.0,39.78333333333333,91.0,103.0,1.9,64.0,2.0,8.0,50.0,748.375,0.0250000008930005,269324.0,275.9063000488281,60.00677599334717,741.4375
