Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,57.0,57.0,78.0,69.0,0.7,56.0,10.0,7.0,50.0,733.375,0.0250000010780002,262960.0,275.7842999267578,60.002063995361326,694.5625
1,1,1,2018,58.0,57.5,79.0,64.0,0.7,45.0,19.0,7.0,50.0,733.375,0.0250000010780002,262960.0,275.7842999267578,60.002063995361326,694.5625
2,1,1,2018,50.0,55.0,69.0,73.0,0.7,27.0,28.0,6.0,50.0,733.375,0.0250000010780002,262960.0,275.7842999267578,60.002063995361326,694.5625
3,1,1,2018,49.0,53.5,68.0,70.0,0.7,24.0,28.0,6.0,50.0,737.375,0.0250000009350013,263556.0,275.86,60.00417599487304,770.9375
4,1,1,2018,48.0,52.4,66.0,67.0,0.7,26.0,25.0,6.0,50.0,737.375,0.0250000009350013,263556.0,275.86,60.00417599487304,770.9375
5,1,1,2018,50.0,52.0,69.0,72.0,0.6,27.0,25.0,7.0,50.0,737.375,0.0250000009350013,263556.0,275.86,60.00417599487304,770.9375
6,1,1,2018,40.0,50.285714285714285,56.0,50.0,0.6,23.0,24.0,6.0,50.0,739.6875,0.025000000965001,263184.0,275.8923999023437,60.0042919921875,762.875
7,1,1,2018,38.0,48.75,54.0,55.0,0.6,26.0,22.0,6.0,50.0,739.6875,0.025000000965001,263184.0,275.8923999023437,60.0042919921875,762.875
8,1,1,2018,43.0,48.11111111111112,60.0,56.0,0.6,36.0,15.0,6.0,50.0,739.6875,0.025000000965001,263184.0,275.8923999023437,60.0042919921875,762.875
9,1,1,2018,38.0,47.1,54.0,58.0,0.6,36.0,20.0,5.0,50.0,740.3125,0.0250000011880006,263368.0,275.8707000732422,60.00527999114991,685.4375
10,1,1,2018,35.0,46.0,53.0,56.0,0.6,29.0,28.0,5.0,50.0,740.3125,0.0250000011880006,263368.0,275.8707000732422,60.00527999114991,685.4375
11,1,1,2018,58.0,47.0,79.0,77.0,1.1,37.0,26.0,9.0,50.0,740.3125,0.0250000011880006,263368.0,275.8707000732422,60.00527999114991,685.4375
12,1,1,2018,75.0,49.15384615384615,100.0,88.0,1.3,49.0,24.0,10.0,50.0,737.4375,0.0250000011050012,263572.0,275.836600036621,60.00169599151612,685.0
13,1,1,2018,37.0,48.285714285714285,53.0,61.0,1.2,39.0,38.0,14.0,50.0,737.4375,0.0250000011050012,263572.0,275.836600036621,60.00169599151612,685.0
14,1,1,2018,25.0,46.73333333333333,36.0,34.0,1.3,31.0,43.0,15.0,50.0,737.4375,0.0250000011050012,263572.0,275.836600036621,60.00169599151612,685.0
15,1,1,2018,35.0,46.0,51.0,52.0,1.3,40.0,39.0,18.0,50.0,736.5,0.0250000011299997,263696.0,275.82389984130856,60.00112399291992,685.0
16,1,1,2018,38.0,45.52941176470589,55.0,59.0,1.3,42.0,36.0,16.0,50.0,736.5,0.0250000011299997,263696.0,275.82389984130856,60.00112399291992,685.0
17,1,1,2018,50.0,45.77777777777778,69.0,72.0,1.4,48.0,27.0,19.0,50.0,736.5,0.0250000011299997,263696.0,275.82389984130856,60.00112399291992,685.0
18,1,1,2018,59.0,46.47368421052632,80.0,106.0,1.7,59.0,9.0,31.0,50.0,734.625,0.0250000011180006,263540.0,275.799700012207,60.00114799499512,685.0
19,1,1,2018,62.0,47.25,93.0,136.0,1.7,59.0,3.0,31.0,50.0,734.625,0.0250000011180006,263540.0,275.799700012207,60.00114799499512,685.0
20,1,1,2018,64.0,48.04761904761905,87.0,124.0,1.7,59.0,3.0,31.0,50.0,734.625,0.0250000011180006,263540.0,275.799700012207,60.00114799499512,685.0
21,1,1,2018,52.0,48.22727272727273,71.0,83.0,1.4,57.0,7.0,23.0,50.0,733.5,0.0250000013399999,264152.0,275.779100036621,60.00067199707031,685.0
22,1,1,2018,54.0,48.47826086956522,74.0,74.0,1.7,59.0,3.0,29.0,50.0,733.5,0.0250000013399999,264152.0,275.779100036621,60.00067199707031,685.0
23,1,1,2018,51.0,48.583333333333336,70.0,77.0,1.7,59.0,3.0,30.0,50.0,733.5,0.0250000013399999,264152.0,275.779100036621,60.00067199707031,685.0
0,2,1,2018,55.0,48.84,75.0,88.0,1.7,59.0,2.0,31.0,50.0,735.375,0.0250000013800002,264700.0,275.7951998901367,60.00085999298096,694.375
1,2,1,2018,48.0,48.80769230769231,66.0,64.0,1.7,59.0,2.0,31.0,50.0,735.375,0.0250000013800002,264700.0,275.7951998901367,60.00085999298096,694.375
2,2,1,2018,43.5,48.61111111111112,60.5,60.5,1.7,58.5,2.0,24.5,50.0,735.375,0.0250000013800002,264700.0,275.7951998901367,60.00085999298096,694.375
3,2,1,2018,39.0,48.267857142857146,55.0,57.0,1.7,58.0,2.0,12.0,50.0,736.4375,0.0250000013149995,264700.0,275.8655999755859,60.00629999542236,777.1875
4,2,1,2018,48.0,48.25862068965517,66.0,67.0,1.7,58.0,2.0,13.0,50.0,736.4375,0.0250000013149995,264700.0,275.8655999755859,60.00629999542236,777.1875
5,2,1,2018,56.0,48.516666666666666,76.0,69.0,1.7,55.0,2.0,10.0,50.0,736.4375,0.0250000013149995,264700.0,275.8655999755859,60.00629999542236,777.1875
6,2,1,2018,61.0,48.65,83.0,74.0,1.6,51.0,4.0,12.0,50.0,744.0,0.0250000014190003,264680.0,275.88329986572256,60.0062559967041,748.75
7,2,1,2018,62.0,48.78333333333333,84.0,66.0,1.5,50.0,5.0,10.0,50.0,744.0,0.0250000014190003,264680.0,275.88329986572256,60.0062559967041,748.75
8,2,1,2018,55.0,48.95,75.0,63.0,1.4,47.0,4.0,9.0,50.0,744.0,0.0250000014190003,264680.0,275.88329986572256,60.0062559967041,748.75
9,2,1,2018,57.0,49.21666666666667,78.0,62.0,1.5,45.0,6.0,8.0,50.0,739.75,0.0250000007710009,264700.0,275.8669998168945,60.007075996398925,685.4375
10,2,1,2018,53.0,49.38333333333333,73.0,63.0,1.6,42.0,13.0,12.0,50.0,739.75,0.0250000007710009,264700.0,275.8669998168945,60.007075996398925,685.4375
11,2,1,2018,60.0,49.71666666666667,81.0,67.0,1.7,45.0,18.0,15.0,50.0,739.75,0.0250000007710009,264700.0,275.8669998168945,60.007075996398925,685.4375
12,2,1,2018,58.0,50.31666666666667,79.0,60.42857142857143,1.5,42.0,31.0,16.0,50.0,737.9375,0.0250000007560011,264700.0,275.8448999023437,60.00621999359131,685.0
13,2,1,2018,11.0,49.41666666666666,18.0,53.85714285714286,0.4,15.0,56.0,6.0,50.0,737.9375,0.0250000007560011,264700.0,275.8448999023437,60.00621999359131,685.0
14,2,1,2018,6.0,48.18333333333333,19.0,47.28571428571429,0.3,15.0,60.0,3.0,50.0,737.9375,0.0250000007560011,264700.0,275.8448999023437,60.00621999359131,685.0
15,2,1,2018,7.333333333333332,47.16111111111111,18.666666666666668,40.71428571428572,0.3,15.0,59.0,3.0,50.0,736.375,0.0250000005479995,264700.0,275.8310998535156,60.0072199935913,685.0
16,2,1,2018,8.666666666666666,46.28333333333333,18.33333333333333,34.142857142857146,0.3,15.0,58.0,3.0,50.0,736.375,0.0250000005479995,264700.0,275.8310998535156,60.0072199935913,685.0
17,2,1,2018,10.0,44.68333333333333,18.0,27.57142857142857,0.3,15.0,57.0,3.0,50.0,736.375,0.0250000005479995,264700.0,275.8310998535156,60.0072199935913,685.0
