Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,69.0,69.0,93.0,128.0,1.6,87.0,2.0,15.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
1,1,1,2018,92.0,80.5,121.0,132.0,1.7,86.0,2.0,15.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
2,1,1,2018,61.0,74.0,83.0,97.0,1.3,74.0,2.0,10.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
3,1,1,2018,40.0,65.5,60.0,69.0,1.1,70.0,2.0,8.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
4,1,1,2018,45.0,61.4,68.0,86.0,1.4,76.0,2.0,10.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
5,1,1,2018,41.0,58.0,60.0,69.0,1.2,70.0,2.0,9.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
6,1,1,2018,30.0,54.0,52.0,54.0,1.0,65.0,2.0,7.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
7,1,1,2018,20.0,49.75,40.0,40.0,0.8,64.0,2.0,6.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
8,1,1,2018,22.0,46.66666666666666,37.0,37.0,0.8,56.0,2.0,5.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
9,1,1,2018,16.0,43.6,39.0,39.0,0.7,50.0,8.0,5.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
10,1,1,2018,6.0,40.18181818181818,34.0,34.0,0.6,37.0,22.0,4.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
11,1,1,2018,8.0,37.5,26.0,26.0,0.5,28.0,33.0,3.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
12,1,1,2018,44.0,38.0,61.0,22.0,0.4,22.0,40.0,2.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
13,1,1,2018,10.0,36.0,18.0,18.0,0.4,23.0,41.0,3.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
14,1,1,2018,13.0,34.46666666666667,24.0,24.0,0.4,25.0,40.0,4.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
15,1,1,2018,22.0,33.6875,36.0,36.0,0.5,34.0,34.0,6.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
16,1,1,2018,32.0,33.588235294117645,52.0,54.0,0.8,46.0,23.0,10.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
17,1,1,2018,52.0,34.611111111111114,71.0,80.0,1.3,60.0,11.0,13.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
