Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,39.0,39.0,60.0,70.0,0.9,61.0,4.0,6.0,50.0,736.0625,0.0250000009730011,266488.0,275.8273999023437,60.00365999603272,693.6875
1,1,1,2018,48.0,43.5,66.0,82.0,1.0,68.0,2.0,8.0,50.0,736.0625,0.0250000009730011,266488.0,275.8273999023437,60.00365999603272,693.6875
2,1,1,2018,38.0,41.66666666666666,58.0,65.0,0.8,54.0,4.0,6.0,50.0,736.0625,0.0250000009730011,266488.0,275.8273999023437,60.00365999603272,693.6875
3,1,1,2018,39.0,41.0,56.0,62.0,0.7,53.0,5.0,5.0,50.0,737.875,0.0250000007990002,266604.0,275.8847998046875,60.005731994628896,775.4375
4,1,1,2018,37.0,40.2,57.0,63.0,0.8,54.0,2.0,5.0,50.0,737.875,0.0250000007990002,266604.0,275.8847998046875,60.005731994628896,775.4375
5,1,1,2018,26.0,37.833333333333336,45.0,45.0,0.7,39.0,11.0,5.0,50.0,737.875,0.0250000007990002,266604.0,275.8847998046875,60.005731994628896,775.4375
6,1,1,2018,28.0,36.42857142857143,49.0,49.0,0.8,52.0,2.0,5.0,50.0,740.125,0.0250000007899999,266136.0,275.90619995117186,60.0042199935913,766.4375
7,1,1,2018,25.0,35.0,46.0,46.0,0.7,46.0,6.0,5.0,50.0,740.125,0.0250000007899999,266136.0,275.90619995117186,60.0042199935913,766.4375
8,1,1,2018,25.0,33.888888888888886,46.0,46.0,0.7,42.0,6.0,4.0,50.0,740.125,0.0250000007899999,266136.0,275.90619995117186,60.0042199935913,766.4375
9,1,1,2018,24.0,32.9,46.0,46.0,0.7,39.0,13.0,5.0,50.0,741.4375,0.0250000010069999,266376.0,275.8938000488281,60.00319199371338,685.5
10,1,1,2018,25.0,32.18181818181818,51.0,51.0,0.7,36.0,22.0,6.0,50.0,741.4375,0.0250000010069999,266376.0,275.8938000488281,60.00319199371338,685.5
11,1,1,2018,17.0,30.916666666666668,32.0,32.0,0.6,27.0,39.0,4.0,50.0,741.4375,0.0250000010069999,266376.0,275.8938000488281,60.00319199371338,685.5
12,1,1,2018,15.0,29.692307692307693,25.0,25.0,0.5,20.0,51.0,3.0,50.0,739.1875,0.0250000012730006,266600.0,275.85910003662104,60.00146799468994,685.0
13,1,1,2018,13.0,28.5,23.0,23.0,0.4,21.0,53.0,3.0,50.0,739.1875,0.0250000012730006,266600.0,275.85910003662104,60.00146799468994,685.0
14,1,1,2018,12.0,27.4,19.0,19.0,0.4,22.0,56.0,3.0,50.0,739.1875,0.0250000012730006,266600.0,275.85910003662104,60.00146799468994,685.0
15,1,1,2018,15.0,26.625,25.0,25.0,0.4,27.0,54.0,3.0,50.0,739.3125,0.0250000015820004,266832.0,275.8530999755859,60.00207599639893,685.0
16,1,1,2018,23.0,26.41176470588235,46.0,46.0,0.6,42.0,37.0,7.0,50.0,739.3125,0.0250000015820004,266832.0,275.8530999755859,60.00207599639893,685.0
17,1,1,2018,37.0,27.0,58.0,66.0,1.0,59.0,17.0,11.0,50.0,739.3125,0.0250000015820004,266832.0,275.8530999755859,60.00207599639893,685.0
18,1,1,2018,63.0,28.894736842105264,85.0,97.0,1.5,74.0,2.0,16.0,50.0,737.125,0.0250000015700012,267148.0,275.8260998535156,60.0020119934082,685.0
19,1,1,2018,58.0,30.35,82.0,113.0,1.5,80.0,2.0,17.0,50.0,737.125,0.0250000015700012,267148.0,275.8260998535156,60.0020119934082,685.0
20,1,1,2018,73.0,32.38095238095238,98.0,130.0,1.5,82.0,2.0,17.0,50.0,737.125,0.0250000015700012,267148.0,275.8260998535156,60.0020119934082,685.0
21,1,1,2018,79.0,34.5,105.0,142.0,1.5,81.0,2.0,17.0,50.0,736.25,0.0250000015930011,267336.0,275.8138000488281,60.00173599243164,685.0
22,1,1,2018,76.0,36.30434782608695,101.0,139.0,1.5,79.0,2.0,17.0,50.0,736.25,0.0250000015930011,267336.0,275.8138000488281,60.00173599243164,685.0
23,1,1,2018,76.0,37.958333333333336,101.0,150.0,1.5,74.0,2.0,12.0,50.0,736.25,0.0250000015930011,267336.0,275.8138000488281,60.00173599243164,685.0
