Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,77.0,77.0,103.0,137.0,1.4,87.0,3.0,7.0,50.0,735.6875,0.0250000011210013,268372.0,275.82529998779296,60.00403999328614,694.6875
1,1,1,2018,78.0,77.5,104.0,131.0,1.4,88.0,7.0,10.0,50.0,735.6875,0.0250000011210013,268372.0,275.82529998779296,60.00403999328614,694.6875
2,1,1,2018,75.0,76.66666666666667,100.0,134.0,1.6,78.0,5.0,11.0,50.0,735.6875,0.0250000011210013,268372.0,275.82529998779296,60.00403999328614,694.6875
3,1,1,2018,57.0,71.75,78.0,102.0,1.4,75.0,4.0,9.0,50.0,738.1875,0.0250000009160004,268448.0,275.89149993896484,60.00607599639893,777.6875
4,1,1,2018,36.0,64.6,59.0,67.0,1.1,68.0,2.0,9.0,50.0,738.1875,0.0250000009160004,268448.0,275.89149993896484,60.00607599639893,777.6875
5,1,1,2018,33.0,59.333333333333336,57.0,64.0,1.0,65.0,2.0,7.0,50.0,738.1875,0.0250000009160004,268448.0,275.89149993896484,60.00607599639893,777.6875
6,1,1,2018,25.0,54.42857142857143,54.0,58.0,1.0,63.0,2.0,6.0,50.0,740.375,0.0250000009430013,268068.0,275.9113998413086,60.00420799255371,767.625
7,1,1,2018,15.0,49.5,44.0,44.0,0.8,62.0,2.0,5.0,50.0,740.375,0.0250000009430013,268068.0,275.9113998413086,60.00420799255371,767.625
8,1,1,2018,13.0,45.44444444444444,32.0,32.0,0.7,61.0,2.0,5.0,50.0,740.375,0.0250000009430013,268068.0,275.9113998413086,60.00420799255371,767.625
9,1,1,2018,14.0,42.3,40.0,40.0,0.8,59.0,3.0,6.0,50.0,741.375,0.0250000011750012,268220.0,275.8957998657225,60.00456399536133,685.5
10,1,1,2018,13.0,39.63636363636363,49.0,49.0,0.9,55.0,10.0,8.0,50.0,741.375,0.0250000011750012,268220.0,275.8957998657225,60.00456399536133,685.5
