Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,48.0,48.0,66.0,60.0,1.9,53.0,2.0,7.0,50.0,731.8125,0.0250000009620003,266568.0,275.78820007324214,60.001139991760255,694.5
1,1,1,2018,34.0,41.0,49.0,46.0,1.8,51.0,2.0,7.0,50.0,731.8125,0.0250000009620003,266568.0,275.78820007324214,60.001139991760255,694.5
2,1,1,2018,27.0,36.333333333333336,44.0,44.0,1.6,49.0,2.0,5.0,50.0,731.8125,0.0250000009620003,266568.0,275.78820007324214,60.001139991760255,694.5
3,1,1,2018,26.0,33.75,41.0,41.0,1.5,50.0,2.0,4.0,50.0,734.875,0.0250000007710009,267540.0,275.86279998779287,60.00290399169922,778.375
4,1,1,2018,26.0,32.2,48.0,48.0,1.7,51.0,2.0,3.0,50.0,734.875,0.0250000007710009,267540.0,275.86279998779287,60.00290399169922,778.375
5,1,1,2018,25.0,31.0,36.0,36.0,1.5,41.0,8.0,2.0,50.0,734.875,0.0250000007710009,267540.0,275.86279998779287,60.00290399169922,778.375
6,1,1,2018,11.0,28.142857142857142,16.0,16.0,0.8,23.0,36.0,4.0,50.0,737.6875,0.0250000007370002,267060.0,275.90149993896483,60.00243599700928,769.625
7,1,1,2018,9.0,25.75,21.0,21.0,0.7,21.0,39.0,7.0,50.0,737.6875,0.0250000007370002,267060.0,275.90149993896483,60.00243599700928,769.625
8,1,1,2018,11.0,24.11111111111111,20.0,20.0,0.7,18.0,43.0,9.0,50.0,737.6875,0.0250000007370002,267060.0,275.90149993896483,60.00243599700928,769.625
9,1,1,2018,9.0,22.6,20.0,20.0,0.7,17.0,46.0,11.0,50.0,738.3125,0.0250000009070001,267372.0,275.87709991455074,60.00406399536133,685.4375
10,1,1,2018,8.0,21.272727272727277,18.0,14.0,0.6,9.0,57.0,12.0,50.0,738.3125,0.0250000009070001,267372.0,275.87709991455074,60.00406399536133,685.4375
11,1,1,2018,8.0,20.166666666666668,19.0,13.285714285714285,0.7,9.0,60.0,12.0,50.0,738.3125,0.0250000009070001,267372.0,275.87709991455074,60.00406399536133,685.4375
12,1,1,2018,5.0,19.0,21.0,12.571428571428571,0.5,6.0,66.0,3.0,50.0,735.5625,0.0250000010200012,267568.0,275.83759979248043,60.000167991638186,685.0
13,1,1,2018,3.0,17.857142857142858,22.0,11.857142857142858,0.4,5.0,71.0,2.0,50.0,735.5625,0.0250000010200012,267568.0,275.83759979248043,60.000167991638186,685.0
14,1,1,2018,3.0,16.866666666666667,23.0,11.142857142857142,0.4,6.0,74.0,2.0,50.0,735.5625,0.0250000010200012,267568.0,275.83759979248043,60.000167991638186,685.0
15,1,1,2018,9.0,16.375,23.0,10.428571428571429,0.3,7.0,74.0,2.0,50.0,734.625,0.0250000010230001,267828.0,275.825599975586,60.00011599731445,685.0
16,1,1,2018,7.0,15.823529411764708,22.0,9.714285714285715,0.4,11.0,71.0,2.0,50.0,734.625,0.0250000010230001,267828.0,275.825599975586,60.00011599731445,685.0
17,1,1,2018,7.0,15.333333333333334,18.0,9.0,0.4,22.0,57.0,3.0,50.0,734.625,0.0250000010230001,267828.0,275.825599975586,60.00011599731445,685.0
18,1,1,2018,17.0,15.421052631578949,31.0,27.0,0.9,61.0,8.0,5.0,50.0,732.75,0.0250000010470002,267100.0,275.7989999389648,60.00041199493408,685.0
19,1,1,2018,52.0,17.25,71.0,70.0,1.9,74.0,2.0,14.0,50.0,732.75,0.0250000010470002,267100.0,275.7989999389648,60.00041199493408,685.0
20,1,1,2018,49.0,18.761904761904763,68.0,84.0,1.6,57.0,2.0,8.0,50.0,732.75,0.0250000010470002,267100.0,275.7989999389648,60.00041199493408,685.0
21,1,1,2018,72.0,21.181818181818183,96.0,89.0,1.9,60.0,2.0,14.0,50.0,732.0,0.0250000012890007,268352.0,275.7816998291015,60.000103996276856,685.0
22,1,1,2018,59.0,22.82608695652174,80.0,79.0,1.9,58.0,2.0,13.0,50.0,732.0,0.0250000012890007,268352.0,275.7816998291015,60.000103996276856,685.0
23,1,1,2018,60.0,24.375,81.0,71.0,1.9,54.0,2.0,10.0,50.0,732.0,0.0250000012890007,268352.0,275.7816998291015,60.000103996276856,685.0
0,2,1,2018,65.0,26.0,88.0,78.0,1.9,52.0,2.0,8.0,50.0,736.3125,0.0250000014600008,268780.0,275.8035998535156,60.00113599395752,692.625
1,2,1,2018,57.0,27.192307692307693,78.0,63.0,1.9,49.0,2.0,7.0,50.0,736.3125,0.0250000014600008,268780.0,275.8035998535156,60.00113599395752,692.625
2,2,1,2018,49.0,28.0,68.0,62.0,1.9,50.0,2.0,6.0,50.0,736.3125,0.0250000014600008,268780.0,275.8035998535156,60.00113599395752,692.625
3,2,1,2018,39.0,28.392857142857142,55.0,50.0,1.9,46.0,2.0,4.0,50.0,737.75,0.0250000013309996,268780.0,275.8810998535156,60.01006399536133,775.75
4,2,1,2018,35.0,28.620689655172413,50.0,40.0,1.9,44.0,2.0,4.0,50.0,737.75,0.0250000013309996,268780.0,275.8810998535156,60.01006399536133,775.75
5,2,1,2018,35.0,28.83333333333333,50.0,37.0,1.9,44.0,2.0,6.0,50.0,737.75,0.0250000013309996,268780.0,275.8810998535156,60.01006399536133,775.75
6,2,1,2018,32.0,28.3,46.0,44.0,1.9,47.0,2.0,7.0,50.0,745.0625,0.0250000013810005,268584.0,275.89649993896484,60.00823199462891,748.625
7,2,1,2018,29.0,28.133333333333333,41.0,37.0,1.3,38.0,13.0,13.0,50.0,745.0625,0.0250000013810005,268584.0,275.89649993896484,60.00823199462891,748.625
8,2,1,2018,22.0,27.966666666666665,36.0,36.0,1.1,33.0,20.0,11.0,50.0,745.0625,0.0250000013810005,268584.0,275.89649993896484,60.00823199462891,748.625
9,2,1,2018,13.0,27.53333333333333,32.0,32.0,0.9,29.0,30.0,9.0,50.0,740.3125,0.0250000006600003,268780.0,275.87509979248046,60.008879997253416,685.5
10,2,1,2018,14.0,27.133333333333333,24.0,24.0,0.8,19.0,44.0,7.0,50.0,740.3125,0.0250000006600003,268780.0,275.87509979248046,60.008879997253416,685.5
11,2,1,2018,9.0,26.6,19.0,10.0,0.7,9.0,60.0,5.0,50.0,740.3125,0.0250000006600003,268780.0,275.87509979248046,60.008879997253416,685.5
12,2,1,2018,9.0,26.53333333333333,20.0,11.857142857142858,0.6,8.0,65.0,4.0,50.0,738.75,0.0250000006130002,268780.0,275.8572998046875,60.00733199310303,685.0
13,2,1,2018,8.0,26.5,22.0,13.714285714285715,0.5,6.0,70.0,2.0,50.0,738.75,0.0250000006130002,268780.0,275.8572998046875,60.00733199310303,685.0
