Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,72.0,72.0,96.0,133.0,2.0,59.0,2.0,20.0,50.0,730.4375,0.0250000007429998,256508.0,275.7758999633789,60.00135999298096,693.4375
1,1,1,2018,64.0,68.0,86.0,90.0,2.0,54.0,2.0,18.0,50.0,730.4375,0.0250000007429998,256508.0,275.7758999633789,60.00135999298096,693.4375
2,1,1,2018,66.0,67.33333333333333,89.0,98.0,2.0,54.0,2.0,18.0,50.0,730.4375,0.0250000007429998,256508.0,275.7758999633789,60.00135999298096,693.4375
3,1,1,2018,60.0,65.5,81.0,86.0,2.0,60.0,2.0,20.0,50.0,732.9375,0.0250000006440002,257312.0,275.8425997924804,60.00363599395752,777.9375
4,1,1,2018,44.0,61.2,62.0,74.0,2.0,61.0,2.0,20.0,50.0,732.9375,0.0250000006440002,257312.0,275.8425997924804,60.00363599395752,777.9375
5,1,1,2018,26.0,55.333333333333336,53.0,55.0,2.0,61.0,2.0,20.0,50.0,732.9375,0.0250000006440002,257312.0,275.8425997924804,60.00363599395752,777.9375
6,1,1,2018,25.0,51.0,56.0,61.0,2.0,60.0,2.0,19.0,50.0,735.5,0.0250000005920007,256788.0,275.880599975586,60.002091995239255,771.625
7,1,1,2018,29.0,48.25,54.0,57.0,2.0,65.0,2.0,20.0,50.0,735.5,0.0250000005920007,256788.0,275.880599975586,60.002091995239255,771.625
8,1,1,2018,33.0,46.55555555555556,55.0,59.0,2.0,49.0,2.0,20.0,50.0,735.5,0.0250000005920007,256788.0,275.880599975586,60.002091995239255,771.625
9,1,1,2018,37.0,45.6,57.0,64.0,2.0,43.0,3.0,20.0,50.0,737.0,0.0250000007020011,257128.0,275.86779998779286,60.002799995422365,685.5
10,1,1,2018,61.0,47.0,83.0,96.0,2.0,54.0,5.0,20.0,50.0,737.0,0.0250000007020011,257128.0,275.86779998779286,60.002799995422365,685.5
11,1,1,2018,55.0,47.66666666666666,81.0,112.0,1.7,52.0,11.0,20.0,50.0,737.0,0.0250000007020011,257128.0,275.86779998779286,60.002799995422365,685.5
12,1,1,2018,50.0,47.84615384615385,70.0,90.0,1.6,41.0,21.0,20.0,50.0,733.75,0.0250000007830001,257108.0,275.8213000488281,60.00063599395752,685.0
13,1,1,2018,42.0,47.42857142857143,59.0,62.0,1.3,34.0,29.0,20.0,50.0,733.75,0.0250000007830001,257108.0,275.8213000488281,60.00063599395752,685.0
14,1,1,2018,38.0,46.8,54.0,54.0,1.0,29.0,37.0,18.0,50.0,733.75,0.0250000007830001,257108.0,275.8213000488281,60.00063599395752,685.0
15,1,1,2018,31.0,45.8125,46.0,46.0,0.8,27.0,39.0,14.0,50.0,732.25,0.0250000007870011,257432.0,275.79999999999995,60.001963996887206,685.0
16,1,1,2018,30.0,44.88235294117647,49.0,49.0,0.8,29.0,39.0,17.0,50.0,732.25,0.0250000007870011,257432.0,275.79999999999995,60.001963996887206,685.0
17,1,1,2018,30.0,44.05555555555556,44.0,44.0,0.8,40.0,26.0,17.0,50.0,732.25,0.0250000007870011,257432.0,275.79999999999995,60.001963996887206,685.0
18,1,1,2018,34.0,43.526315789473685,56.0,62.0,0.9,53.0,9.0,13.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
19,1,1,2018,33.0,43.0,58.0,65.0,0.8,54.0,5.0,11.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
20,1,1,2018,35.0,42.61904761904762,57.0,64.0,0.9,52.0,3.0,12.0,50.0,730.375,0.0250000008129999,257016.0,275.7732000732421,60.00248399353029,685.0
