Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,740.5625,0.0250000011180006,268416.0,275.8388000488281,60.004603996276856,692.875
1,1,1,2018,109.0,109.0,143.0,0.0,2.0,55.0,4.0,3.0,50.0,740.5625,0.0250000011180006,268416.0,275.8388000488281,60.004603996276856,692.875
2,1,1,2018,119.0,114.0,156.0,0.0,2.0,56.0,3.0,3.0,50.0,740.5625,0.0250000011180006,268416.0,275.8388000488281,60.004603996276856,692.875
3,1,1,2018,123.0,117.0,161.0,0.0,2.0,70.0,4.0,5.0,50.0,743.125,0.0250000009749997,268400.0,275.8944998168945,60.00666399383545,762.25
4,1,1,2018,113.0,116.0,148.0,115.0,2.0,66.0,3.0,4.0,50.0,743.125,0.0250000009749997,268400.0,275.8944998168945,60.00666399383545,762.25
5,1,1,2018,87.0,110.2,115.0,106.0,2.0,68.0,3.0,5.0,50.0,743.125,0.0250000009749997,268400.0,275.8944998168945,60.00666399383545,762.25
6,1,1,2018,84.0,105.83333333333331,111.0,98.0,2.0,63.0,3.0,4.0,50.0,745.1875,0.0250000009630005,267996.0,275.9127999877929,60.005519996643066,754.375
7,1,1,2018,84.0,102.71428571428572,111.0,90.0,2.0,59.0,3.0,3.0,50.0,745.1875,0.0250000009630005,267996.0,275.9127999877929,60.005519996643066,754.375
8,1,1,2018,71.0,98.75,95.0,83.0,1.8,62.0,3.0,3.0,50.0,745.1875,0.0250000009630005,267996.0,275.9127999877929,60.005519996643066,754.375
9,1,1,2018,69.0,95.44444444444444,93.0,94.0,1.8,56.0,3.0,4.0,50.0,745.6875,0.0250000011520013,268140.0,275.8982000732421,60.00463999176026,685.5
10,1,1,2018,46.5,90.55,66.5,67.0,1.4,49.0,9.0,6.0,50.0,745.6875,0.0250000011520013,268140.0,275.8982000732421,60.00463999176026,685.5
11,1,1,2018,24.0,84.5,40.0,40.0,1.0,42.0,15.0,8.0,50.0,745.6875,0.0250000011520013,268140.0,275.8982000732421,60.00463999176026,685.5
12,1,1,2018,48.0,81.45833333333333,66.0,70.0,1.4,39.0,21.0,16.0,50.0,743.625,0.0250000014460012,268456.0,275.8682000732422,60.00249599456787,685.0
13,1,1,2018,52.0,79.1923076923077,71.0,88.0,2.0,42.0,23.0,23.0,50.0,743.625,0.0250000014460012,268456.0,275.8682000732422,60.00249599456787,685.0
14,1,1,2018,73.0,78.75,98.0,102.0,2.0,50.0,22.0,23.0,50.0,743.625,0.0250000014460012,268456.0,275.8682000732422,60.00249599456787,685.0
15,1,1,2018,85.0,79.16666666666667,113.0,132.0,2.0,57.0,20.0,23.0,50.0,744.375,0.0250000021110009,268596.0,275.8655999755859,60.00262799072266,685.0
16,1,1,2018,88.0,79.71875,116.0,128.0,2.0,60.0,12.0,23.0,50.0,744.375,0.0250000021110009,268596.0,275.8655999755859,60.00262799072266,685.0
17,1,1,2018,80.0,79.73529411764706,106.0,145.0,2.0,65.0,5.0,23.0,50.0,744.375,0.0250000021110009,268596.0,275.8655999755859,60.00262799072266,685.0
18,1,1,2018,78.0,79.63888888888889,104.0,130.0,2.0,65.0,3.0,23.0,50.0,742.3125,0.0250000020250007,269116.0,275.8432998657226,60.00247999572754,685.0
19,1,1,2018,80.0,79.65789473684211,106.0,129.0,2.0,62.0,3.0,20.0,50.0,742.3125,0.0250000020250007,269116.0,275.8432998657226,60.00247999572754,685.0
