Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,69.0,69.0,93.0,117.0,1.9,95.0,2.0,10.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
1,1,1,2018,78.0,73.5,104.0,113.0,1.7,92.0,2.0,13.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
2,1,1,2018,46.0,64.33333333333333,64.0,70.0,1.2,73.0,2.0,10.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
3,1,1,2018,37.0,57.5,56.0,61.0,1.1,67.0,2.0,7.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
4,1,1,2018,36.0,53.2,54.0,57.0,1.0,66.0,2.0,8.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
5,1,1,2018,25.0,48.5,43.0,43.0,0.7,61.0,2.0,9.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
6,1,1,2018,24.0,45.0,39.0,39.0,0.7,57.0,2.0,8.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
7,1,1,2018,20.0,41.875,37.0,37.0,0.7,56.0,2.0,6.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
8,1,1,2018,19.0,39.333333333333336,35.0,35.0,0.7,55.0,2.0,7.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
9,1,1,2018,21.0,37.5,47.0,47.0,0.7,55.0,2.0,6.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
10,1,1,2018,17.0,35.63636363636363,41.0,41.0,0.6,49.0,5.0,7.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
11,1,1,2018,18.0,34.166666666666664,26.0,26.0,0.5,44.0,12.0,7.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
12,1,1,2018,15.0,32.69230769230769,22.0,22.0,0.5,40.0,16.0,7.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
13,1,1,2018,17.0,31.571428571428573,24.0,23.0,0.5,41.0,18.0,9.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
14,1,1,2018,22.0,30.933333333333334,36.0,36.0,0.7,46.0,16.0,12.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
15,1,1,2018,29.0,30.8125,52.0,53.0,0.9,51.0,13.0,13.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
16,1,1,2018,42.0,31.47058823529412,63.0,75.0,1.3,59.0,8.0,15.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
17,1,1,2018,59.0,33.0,80.0,92.0,2.0,70.0,2.0,21.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
18,1,1,2018,78.0,35.36842105263158,104.0,120.0,2.0,78.0,2.0,21.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
19,1,1,2018,78.0,37.5,104.0,133.0,2.0,79.0,2.0,21.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
20,1,1,2018,75.0,39.285714285714285,100.0,123.0,2.0,77.0,2.0,21.0,50.0,736.5625,0.0250000017039999,268768.0,275.82979980468747,60.00191599273682,685.0
21,1,1,2018,70.0,40.68181818181818,94.0,113.0,1.9,72.0,2.0,16.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
22,1,1,2018,62.0,41.60869565217392,84.0,90.0,1.3,66.0,2.0,11.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
23,1,1,2018,43.0,41.66666666666666,60.0,65.0,0.9,58.0,2.0,7.0,50.0,735.1875,0.025000001670001,268984.0,275.8125,60.00185199737549,685.0
