Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,125.0,125.0,164.0,203.0,3.6,60.0,7.0,28.0,50.0,743.5,0.0250000010550003,268608.0,275.8460998535156,60.00457599639893,691.5
1,1,1,2018,98.0,111.5,217.0,292.7409188034186,3.6,59.0,5.0,20.0,50.0,743.5,0.0250000010550003,268608.0,275.8460998535156,60.00457599639893,691.5
2,1,1,2018,105.0,109.33333333333331,178.0,292.7409188034186,3.6,55.0,6.0,24.0,50.0,743.5,0.0250000010550003,268608.0,275.8460998535156,60.00457599639893,691.5
3,1,1,2018,90.0,104.5,119.0,134.0,3.6,53.0,4.0,26.0,50.0,745.8125,0.0250000009540002,268628.0,275.89350006103507,60.0063999938965,752.1875
4,1,1,2018,93.0,102.2,123.0,143.0,3.6,51.0,4.0,27.0,50.0,745.8125,0.0250000009540002,268628.0,275.89350006103507,60.0063999938965,752.1875
5,1,1,2018,69.0,96.66666666666669,93.0,109.0,3.5,52.0,2.0,20.0,50.0,745.8125,0.0250000009540002,268628.0,275.89350006103507,60.0063999938965,752.1875
6,1,1,2018,61.0,91.57142857142856,83.0,110.0,3.6,50.0,2.0,20.0,50.0,747.9375,0.0250000009129997,268132.0,275.91239990234374,60.00621599578857,745.875
7,1,1,2018,74.0,89.375,99.0,113.0,3.6,50.0,4.0,28.0,50.0,747.9375,0.0250000009129997,268132.0,275.91239990234374,60.00621599578857,745.875
8,1,1,2018,69.0,87.11111111111111,93.0,101.0,3.3,48.0,4.0,26.0,50.0,747.9375,0.0250000009129997,268132.0,275.91239990234374,60.00621599578857,745.875
9,1,1,2018,99.0,88.3,130.0,160.0,3.6,52.0,15.0,28.0,50.0,748.1875,0.0250000010950006,268356.0,275.8977999877929,60.00383199310303,685.5625
10,1,1,2018,67.0,86.36363636363636,90.0,114.0,2.1,40.0,24.0,14.0,50.0,748.1875,0.0250000010950006,268356.0,275.8977999877929,60.00383199310303,685.5625
11,1,1,2018,22.0,81.0,72.0,93.0,0.9,28.0,39.0,5.0,50.0,748.1875,0.0250000010950006,268356.0,275.8977999877929,60.00383199310303,685.5625
12,1,1,2018,19.0,76.23076923076923,69.0,87.0,0.7,27.0,41.0,6.0,50.0,746.25,0.0250000013660006,268644.0,275.8714999389648,60.00193599700928,685.0
13,1,1,2018,27.0,72.71428571428571,53.0,55.0,0.6,24.0,48.0,4.0,50.0,746.25,0.0250000013660006,268644.0,275.8714999389648,60.00193599700928,685.0
14,1,1,2018,11.0,68.6,51.0,52.0,0.5,24.0,51.0,3.0,50.0,746.25,0.0250000013660006,268644.0,275.8714999389648,60.00193599700928,685.0
15,1,1,2018,22.0,65.6875,67.0,84.0,0.5,28.0,50.0,2.0,50.0,746.375,0.025000001805,268828.0,275.86630004882807,60.00245199584961,685.0
16,1,1,2018,17.0,62.8235294117647,81.0,111.0,0.7,43.0,35.0,6.0,50.0,746.375,0.025000001805,268828.0,275.86630004882807,60.00245199584961,685.0
17,1,1,2018,39.0,61.5,100.0,149.0,1.0,57.0,22.0,10.0,50.0,746.375,0.025000001805,268828.0,275.86630004882807,60.00245199584961,685.0
18,1,1,2018,63.0,61.578947368421055,39.0,200.0,1.7,78.0,11.0,18.0,50.0,744.6875,0.0250000018380004,269320.0,275.8466998291016,60.00219599151611,685.0
19,1,1,2018,87.0,62.85,151.0,251.0,2.4,78.0,7.0,28.0,50.0,744.6875,0.0250000018380004,269320.0,275.8466998291016,60.00219599151611,685.0
20,1,1,2018,111.0,65.14285714285714,150.0,249.0,3.3,79.0,6.0,28.0,50.0,744.6875,0.0250000018380004,269320.0,275.8466998291016,60.00219599151611,685.0
21,1,1,2018,115.0,67.4090909090909,150.0,244.0,3.6,73.0,6.0,28.0,50.0,743.4375,0.0250000016300007,269388.0,275.8357000732421,60.00233999633789,685.0
22,1,1,2018,106.0,69.08695652173913,146.0,242.0,3.6,70.0,6.0,28.0,50.0,743.4375,0.0250000016300007,269388.0,275.8357000732421,60.00233999633789,685.0
23,1,1,2018,118.0,71.125,158.0,266.0,3.6,65.0,8.0,28.0,50.0,743.4375,0.0250000016300007,269388.0,275.8357000732421,60.00233999633789,685.0
0,2,1,2018,106.0,72.52,139.0,183.0,3.6,63.0,5.0,28.0,50.0,745.4375,0.0250000015060007,269880.0,275.8413000488281,60.00361999511719,693.375
1,2,1,2018,108.0,73.88461538461539,141.0,232.0,3.6,61.0,4.0,25.0,50.0,745.4375,0.0250000015060007,269880.0,275.8413000488281,60.00361999511719,693.375
2,2,1,2018,107.0,75.11111111111111,175.0,292.7409188034186,3.6,61.0,3.0,20.0,50.0,745.4375,0.0250000015060007,269880.0,275.8413000488281,60.00361999511719,693.375
3,2,1,2018,68.0,74.85714285714286,100.0,149.0,3.4,62.0,2.0,16.0,50.0,742.0,0.0250000011750012,270028.0,275.8808999633789,60.00732799530029,762.375
4,2,1,2018,78.0,74.96551724137932,104.0,125.0,3.2,57.0,2.0,12.0,50.0,742.0,0.0250000011750012,270028.0,275.8808999633789,60.00732799530029,762.375
5,2,1,2018,73.0,74.9,144.0,238.0,3.3,55.0,2.0,12.0,50.0,742.0,0.0250000011750012,270028.0,275.8808999633789,60.00732799530029,762.375
6,2,1,2018,64.0,72.86666666666666,86.0,122.0,3.5,49.0,2.0,10.0,50.0,755.8125,0.0250000010829996,269748.0,275.9007000732421,60.00640799713135,718.0625
7,2,1,2018,65.0,71.76666666666667,88.0,78.0,2.9,48.0,2.0,8.0,50.0,755.8125,0.0250000010829996,269748.0,275.9007000732421,60.00640799713135,718.0625
8,2,1,2018,60.0,70.26666666666667,81.0,95.0,3.6,49.0,3.0,12.0,50.0,755.8125,0.0250000010829996,269748.0,275.9007000732421,60.00640799713135,718.0625
9,2,1,2018,86.0,70.13333333333334,114.0,142.0,3.6,48.0,6.0,20.0,50.0,749.5625,0.0250000010260008,269996.0,275.8929998779296,60.00619599151612,685.5625
10,2,1,2018,83.0,69.8,147.0,243.0,3.5,57.0,9.0,23.0,50.0,749.5625,0.0250000010260008,269996.0,275.8929998779296,60.00619599151612,685.5625
11,2,1,2018,80.0,70.16666666666667,106.0,158.0,2.1,55.0,19.0,23.0,50.0,749.5625,0.0250000010260008,269996.0,275.8929998779296,60.00619599151612,685.5625
12,2,1,2018,53.0,69.9,73.0,88.0,1.7,51.0,29.0,24.0,50.0,748.3125,0.0250000009120013,270028.0,275.8816000366211,60.00387999725342,685.0
13,2,1,2018,64.0,69.56666666666666,86.0,84.0,1.4,47.0,39.0,20.0,50.0,748.3125,0.0250000009120013,270028.0,275.8816000366211,60.00387999725342,685.0
14,2,1,2018,58.0,69.2,79.0,78.0,1.3,48.0,39.0,20.0,50.0,748.3125,0.0250000009120013,270028.0,275.8816000366211,60.00387999725342,685.0
15,2,1,2018,65.0,68.06666666666666,88.0,86.0,1.3,49.0,39.0,20.0,50.0,747.125,0.0250000008940007,270028.0,275.8691000366211,60.00517199707031,685.0
16,2,1,2018,63.0,67.93333333333334,85.0,93.0,1.3,52.0,29.0,20.0,50.0,747.125,0.0250000008940007,270028.0,275.8691000366211,60.00517199707031,685.0
17,2,1,2018,58.0,69.13333333333334,79.0,106.0,1.3,57.0,19.0,19.0,50.0,747.125,0.0250000008940007,270028.0,275.8691000366211,60.00517199707031,685.0
18,2,1,2018,82.0,71.23333333333333,36.0,141.5,1.8,71.0,9.0,21.0,50.0,746.25,0.0250000009800009,270028.0,275.85759979248047,60.00712399291992,685.0
19,2,1,2018,106.0,73.86666666666666,139.0,177.0,2.0,78.0,6.0,28.0,50.0,746.25,0.0250000009800009,270028.0,275.85759979248047,60.00712399291992,685.0
20,2,1,2018,130.0,77.83333333333333,171.0,185.0,2.2,78.0,7.0,28.0,50.0,746.25,0.0250000009800009,270028.0,275.85759979248047,60.00712399291992,685.0
21,2,1,2018,127.0,81.33333333333333,167.0,185.0,2.7,76.0,7.0,28.0,50.0,743.8125,0.0250000009390004,270028.0,275.83149993896484,60.00343999481201,685.0
22,2,1,2018,130.0,85.1,171.0,209.5,2.9,74.0,5.0,28.0,50.0,743.8125,0.0250000009390004,270028.0,275.83149993896484,60.00343999481201,685.0
23,2,1,2018,132.0,88.2,174.0,234.0,3.6,69.0,7.0,28.0,50.0,743.8125,0.0250000009390004,270028.0,275.83149993896484,60.00343999481201,685.0
