Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,90.0,90.0,119.0,171.0,1.7,95.0,2.0,16.0,50.0,734.8125,0.0250000011229999,268428.0,275.8197998046875,60.003491996765135,694.875
1,1,1,2018,112.0,101.0,146.0,191.0,2.1,81.0,2.0,20.0,50.0,734.8125,0.0250000011229999,268428.0,275.8197998046875,60.003491996765135,694.875
2,1,1,2018,73.0,91.66666666666669,98.0,142.0,1.6,74.0,2.0,13.0,50.0,734.8125,0.0250000011229999,268428.0,275.8197998046875,60.003491996765135,694.875
3,1,1,2018,56.0,82.75,83.0,115.0,1.8,85.0,2.0,15.0,50.0,737.375,0.0250000009070001,268620.0,275.888699951172,60.005567993164064,779.1875
4,1,1,2018,44.0,75.0,68.0,85.0,1.5,75.0,2.0,14.0,50.0,737.375,0.0250000009070001,268620.0,275.888699951172,60.005567993164064,779.1875
5,1,1,2018,45.0,70.0,65.0,79.0,1.3,67.0,2.0,10.0,50.0,737.375,0.0250000009070001,268620.0,275.888699951172,60.005567993164064,779.1875
6,1,1,2018,30.0,64.28571428571429,58.0,65.0,1.1,62.0,2.0,8.0,50.0,739.625,0.025000000934001,268232.0,275.9104998779297,60.00389599609375,769.0
7,1,1,2018,21.0,58.875,53.0,55.0,0.9,61.0,2.0,7.0,50.0,739.625,0.025000000934001,268232.0,275.9104998779297,60.00389599609375,769.0
8,1,1,2018,22.0,54.77777777777778,43.0,43.0,0.9,59.0,2.0,5.0,50.0,739.625,0.025000000934001,268232.0,275.9104998779297,60.00389599609375,769.0
9,1,1,2018,17.0,51.0,54.0,58.0,0.8,50.0,7.0,6.0,50.0,740.6875,0.0250000012020003,268412.0,275.8932998657225,60.004547996521,685.5
10,1,1,2018,19.0,48.09090909090909,53.0,55.0,0.8,44.0,17.0,9.0,50.0,740.6875,0.0250000012020003,268412.0,275.8932998657225,60.004547996521,685.5
11,1,1,2018,25.0,46.16666666666666,46.0,46.0,0.8,38.0,27.0,9.0,50.0,740.6875,0.0250000012020003,268412.0,275.8932998657225,60.004547996521,685.5
12,1,1,2018,28.0,44.76923076923077,40.0,39.0,0.8,30.0,40.0,10.0,50.0,738.1875,0.025000001348,268704.0,275.8582000732422,60.00188399505616,685.0
13,1,1,2018,29.0,43.642857142857146,51.0,51.0,0.9,32.0,42.0,12.0,50.0,738.1875,0.025000001348,268704.0,275.8582000732422,60.00188399505616,685.0
14,1,1,2018,43.0,43.6,60.0,70.0,1.2,34.0,46.0,15.0,50.0,738.1875,0.025000001348,268704.0,275.8582000732422,60.00188399505616,685.0
15,1,1,2018,55.0,44.3125,75.0,93.0,2.1,47.0,33.0,25.0,50.0,738.625,0.0250000017179995,268864.0,275.854700012207,60.00170799255371,685.0
16,1,1,2018,69.0,45.76470588235294,93.0,118.0,2.1,60.0,22.0,25.0,50.0,738.625,0.0250000017179995,268864.0,275.854700012207,60.00170799255371,685.0
