Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,32.0,32.0,51.0,52.0,0.8,39.0,27.0,5.0,50.0,734.375,0.0250000009209997,264468.0,275.81829986572257,60.00327199554443,693.9375
1,1,1,2018,34.0,33.0,51.0,51.0,0.8,38.0,23.0,5.0,50.0,734.375,0.0250000009209997,264468.0,275.81829986572257,60.00327199554443,693.9375
2,1,1,2018,27.0,31.0,46.0,46.0,0.8,47.0,12.0,5.0,50.0,734.375,0.0250000009209997,264468.0,275.81829986572257,60.00327199554443,693.9375
3,1,1,2018,25.0,29.5,46.0,46.0,0.7,38.0,18.0,5.0,50.0,736.0,0.0250000007499996,264704.0,275.87739990234365,60.00539999389648,779.125
4,1,1,2018,24.0,28.4,45.0,45.0,0.7,42.0,11.0,5.0,50.0,736.0,0.0250000007499996,264704.0,275.87739990234365,60.00539999389648,779.125
5,1,1,2018,23.0,27.5,33.0,33.0,0.7,27.0,28.0,5.0,50.0,736.0,0.0250000007499996,264704.0,275.87739990234365,60.00539999389648,779.125
6,1,1,2018,23.0,26.857142857142858,36.0,36.0,0.7,29.0,25.0,5.0,50.0,738.4375,0.0250000007370002,264236.0,275.9007000732421,60.00380799102784,769.6875
7,1,1,2018,19.0,25.875,40.0,40.0,0.7,34.0,19.0,5.0,50.0,738.4375,0.0250000007370002,264236.0,275.9007000732421,60.00380799102784,769.6875
8,1,1,2018,17.0,24.88888888888889,42.0,42.0,0.8,32.0,19.0,5.0,50.0,738.4375,0.0250000007370002,264236.0,275.9007000732421,60.00380799102784,769.6875
9,1,1,2018,26.0,25.0,44.0,44.0,0.8,29.0,22.0,5.0,50.0,739.8125,0.0250000009439997,264488.0,275.8883999633789,60.00300399780274,685.5
10,1,1,2018,21.0,24.63636363636364,46.0,46.0,0.8,24.0,30.0,6.0,50.0,739.8125,0.0250000009439997,264488.0,275.8883999633789,60.00300399780274,685.5
11,1,1,2018,24.0,24.58333333333333,36.0,36.0,0.7,25.0,38.0,6.0,50.0,739.8125,0.0250000009439997,264488.0,275.8883999633789,60.00300399780274,685.5
12,1,1,2018,31.0,25.07692307692308,50.0,50.0,0.8,33.0,39.0,9.0,50.0,737.4375,0.0250000011830013,264668.0,275.851600036621,60.00120799255371,685.0
13,1,1,2018,24.0,25.0,49.0,49.0,0.7,34.0,43.0,9.0,50.0,737.4375,0.0250000011830013,264668.0,275.851600036621,60.00120799255371,685.0
14,1,1,2018,16.0,24.4,23.0,22.0,0.5,24.0,57.0,4.0,50.0,737.4375,0.0250000011830013,264668.0,275.851600036621,60.00120799255371,685.0
15,1,1,2018,11.0,23.5625,20.0,20.0,0.4,24.0,61.0,3.0,50.0,737.3125,0.0250000014130007,264920.0,275.8438998413086,60.00192399597168,685.0
16,1,1,2018,13.0,22.94117647058824,27.0,27.0,0.3,31.0,55.0,3.0,50.0,737.3125,0.0250000014130007,264920.0,275.8438998413086,60.00192399597168,685.0
