date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:09:04,丰台花园,12.354588,51.426762342453,17.263095473640618,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:13:45,密云水库,7.005864,48.243001103401184,11.529108773929307,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:18:25,密云,8.831103,48.451486229896545,13.841705240145743,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:23:10,永定门内,13.146136,42.19633638858795,18.913144404091035,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:27:55,云岗,9.352594,58.98829102516174,13.355777796036792,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:32:40,西直门北,9.032797,29.67107892036438,13.485842027128452,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:37:26,前门,13.164233,43.79202425479889,22.581006520276063,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:41:52,北部新区,8.820817,49.06599521636963,14.278375582584447,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:46:19,万柳,11.194979,50.82732439041138,16.004253775669007,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:50:54,东四环,15.629549,55.91520667076111,23.292279266690496,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 18:55:33,天坛,12.089223,61.4632785320282,18.211863346531413,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:00:08,万寿西宫,12.7713175,78.05771231651306,17.629786930278858,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:04:42,八达岭,12.185392,36.22550666332245,17.23446707817651,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:09:14,永乐店,18.908983,39.48667645454407,27.237589678675796,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:13:44,定陵,8.952501,50.349360704422,13.882309096810047,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:18:20,大兴,14.446507,62.49555945396423,20.495767295975558,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:22:56,延庆,12.174537,45.71681022644043,17.090598644041663,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:27:39,东四,10.6949005,44.559815526008606,15.664346455499818,0.0
date,Target Station,MAE,MAPE,RMSE,MSE
20/01/2022 19:32:27,平谷,10.48318,68.0248498916626,15.999573225051632,0.0
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:07:37,云岗,12.05067,62.67217993736267,17.16191721772048,294.5314,0.8280317527939702
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:11:25,云岗,5.9142,33.94037485122681,8.210605777968574,67.41405,0.9606389146453801
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:14:46,云岗,13.947518,44.15181279182434,17.962443696360523,322.64938,0.8548490681309263
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:45:12,云岗,5.5327063,27.90164351463318,8.183514505881245,66.96991,0.9608982350942443
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:46:57,云岗,6.9857736,29.554030299186707,9.477136102410542,89.81611,0.9475590085538275
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:48:51,云岗,4.9849405,20.099495351314545,7.559802117962093,57.150608,0.9666314362220685
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:50:31,云岗,5.577453,30.720070004463196,8.128738716888458,66.07639,0.9614199310462805
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:52:32,云岗,5.0064445,21.11310362815857,7.678325109237971,58.956676,0.9655769250281554
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:55:58,云岗,4.9061365,20.578043162822723,7.798921060521894,60.82317,0.9644871361462883
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:57:04,云岗,7.0530753,35.489729046821594,9.829268396575305,96.61452,0.9435896183967267
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 21:58:17,云岗,5.7595325,25.71263313293457,8.486326551711592,72.01774,0.9579509546243336
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 22:00:09,云岗,5.13631,20.983871817588806,7.9227491870812425,62.769955,0.9633504661131636
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 22:07:30,房山,7.332195,54.746657609939575,10.005905315078511,100.11814,0.9499855488349138
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 22:09:31,天坛,10.104255,48.34076166152954,13.619991396818651,185.50417,0.9051603814270566
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
28/01/2022 22:12:24,云岗,5.065964,24.386154115200043,7.657202836515499,58.632755,0.9657660553430168
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
